epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,35041.9,1.67123,1.2479,2.33,0.85578,0.80474,0.86236,0.70881,2.88251,2.93993,3.10514,0.000518836,0.000518836,0.000518836
43,35853.9,1.65362,1.22119,2.32057,0.88776,0.77819,0.8624,0.7099,2.88038,2.94894,3.10498,0.000510808,0.000510808,0.000510808
44,36641.6,1.63947,1.21828,2.30825,0.86045,0.80113,0.86288,0.71061,2.87792,2.962,3.10547,0.000502672,0.000502672,0.000502672
45,37434.2,1.63009,1.20323,2.30453,0.86393,0.80337,0.86432,0.71262,2.87669,2.97069,3.10626,0.000494434,0.000494434,0.000494434
46,38222.5,1.61796,1.19165,2.29842,0.85889,0.80422,0.86362,0.71199,2.87193,2.98195,3.10522,0.0004861,0.0004861,0.0004861
47,39009.3,1.61576,1.1764,2.28976,0.87392,0.79972,0.86565,0.71348,2.86891,2.98865,3.10495,0.000477674,0.000477674,0.000477674
48,39839.8,1.5938,1.15989,2.27564,0.87574,0.79765,0.86575,0.71459,2.8667,2.99872,3.10574,0.000469164,0.000469164,0.000469164
49,40794.9,1.58463,1.14335,2.272,0.87421,0.79806,0.86597,0.71543,2.87191,3.0069,3.11042,0.000460574,0.000460574,0.000460574
50,41663.2,1.56749,1.13773,2.26246,0.86839,0.80581,0.86583,0.7166,2.87087,3.02695,3.11088,0.000451911,0.000451911,0.000451911
51,42517.1,1.55592,1.13832,2.25552,0.87259,0.79984,0.86543,0.71706,2.87128,3.03996,3.11358,0.000443181,0.000443181,0.000443181
52,43379.5,1.55603,1.12591,2.25688,0.87389,0.80167,0.86661,0.71907,2.8708,3.05196,3.11473,0.000434389,0.000434389,0.000434389
53,44248.3,1.54019,1.11188,2.24604,0.87187,0.80301,0.8667,0.71886,2.87186,3.07027,3.1182,0.000425541,0.000425541,0.000425541
54,45127.8,1.53274,1.10359,2.24227,0.85743,0.81632,0.86849,0.71854,2.87082,3.08087,3.11951,0.000416645,0.000416645,0.000416645
55,46069,1.51931,1.09483,2.22875,0.87405,0.80033,0.86954,0.71998,2.87101,3.09572,3.12504,0.000407705,0.000407705,0.000407705
56,46884,1.51316,1.07939,2.2252,0.85018,0.81912,0.86768,0.71845,2.87201,3.11603,3.1289,0.000398727,0.000398727,0.000398727
57,47690.6,1.50925,1.07975,2.21806,0.86118,0.8168,0.86795,0.72022,2.87562,3.12349,3.13823,0.000389719,0.000389719,0.000389719
58,48500.2,1.49076,1.05846,2.20946,0.85851,0.81719,0.86857,0.72016,2.8789,3.13612,3.14552,0.000380686,0.000380686,0.000380686
59,49308.6,1.48484,1.06387,2.20969,0.88019,0.79315,0.86762,0.71904,2.88474,3.15271,3.1545,0.000371634,0.000371634,0.000371634
60,50116.4,1.45248,1.03093,2.18715,0.87746,0.79285,0.86741,0.71981,2.88416,3.17065,3.15906,0.00036257,0.00036257,0.00036257
61,50923.6,1.4649,1.04023,2.19171,0.87496,0.80099,0.86728,0.72059,2.88305,3.18947,3.16194,0.0003535,0.0003535,0.0003535
62,51731.7,1.45846,1.03076,2.18646,0.87605,0.79934,0.86676,0.72183,2.88857,3.19723,3.17158,0.00034443,0.00034443,0.00034443
63,52541.3,1.43604,1.01006,2.17878,0.86923,0.80365,0.86534,0.71965,2.88652,3.21521,3.17531,0.000335366,0.000335366,0.000335366
64,53350.6,1.42117,1.00686,2.16206,0.87412,0.79617,0.86691,0.72026,2.88881,3.23236,3.18141,0.000326314,0.000326314,0.000326314
65,54160,1.41881,1.00683,2.16708,0.88191,0.79872,0.86638,0.72115,2.89133,3.24821,3.19081,0.000317281,0.000317281,0.000317281
66,54967.5,1.40981,0.99201,2.16476,0.87693,0.80361,0.8663,0.72079,2.89386,3.25518,3.19639,0.000308273,0.000308273,0.000308273
67,55776.8,1.40306,0.98187,2.15276,0.86389,0.81671,0.86634,0.72109,2.89156,3.27239,3.19877,0.000299295,0.000299295,0.000299295
68,56585.1,1.39798,0.9727,2.15304,0.8682,0.81888,0.86788,0.7225,2.89069,3.2882,3.20483,0.000290355,0.000290355,0.000290355
